	PamChip Location	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
	Visual QC	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK
	Array	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS
ID																																																			
RBL2		-2	-5	-14	-22	-25	-1	-3	-5	-18	-27	-2	-3	-8	-16	-39	-2	-4	-2	-14	-24	-2	-4	-3	-8	-14	-2	-5	-5	-20	-27	-2	-3	-6	-5	-9	-3	-2	-6	-12	-21	-4	-3	-10	-4	-31	-2	-3	-4	-10	-22
ADRB2		515	1043	2624	3664	3208	509	1035	2605	3619	3150	391	788	1965	3741	3386	422	858	2167	3717	3339	493	996	2490	3659	3197	459	916	2309	3619	3136	303	619	1558	3106	3526	419	831	2125	3744	3365	438	886	2248	3717	3341	440	882	2205	3673	3248
KCC2G		-4	-6	-19	-35	-77	-6	-8	-15	-32	-75	-3	-3	-16	-24	-49	-4	-6	-12	-28	-52	-5	-8	-20	-36	-75	-2	-6	-13	-27	-58	-2	-5	-12	-25	-47	-3	-8	-17	-26	-54	-5	-8	-15	-31	-67	-4	-7	-18	-36	-71
RYR1		326	670	1685	3386	3291	294	613	1533	3066	3258	261	525	1320	2639	3442	306	613	1559	3142	3415	313	627	1583	3187	3314	289	570	1448	2921	3272	194	394	988	1982	3562	293	584	1495	2970	3402	265	541	1372	2762	3421	242	515	1272	2566	3311
ACM4		3	5	18	34	75	4	9	23	47	104	1	6	17	38	72	4	8	16	41	85	4	8	18	37	74	5	8	26	46	98	2	6	17	32	60	4	10	16	38	78	3	7	17	31	70	2	7	21	38	85
BAD		10	20	46	97	204	10	16	52	108	215	4	13	30	67	133	7	14	37	76	152	10	19	53	102	205	10	19	47	96	198	4	7	19	46	87	7	17	35	79	152	8	15	38	74	147	9	18	44	88	173
COF1		18	39	95	194	380	15	31	83	165	353	6	13	28	62	131	6	18	44	94	192	18	40	104	210	419	18	35	87	182	362	3	5	15	24	62	8	21	48	84	192	8	21	59	116	242	10	25	58	118	246
FRAP		-1	-2	-8	-8	-24	-1	-6	-9	-19	-37	-1	-2	-7	-10	-17	-1	-3	-8	-17	-27	-2	-4	-8	-19	-32	0	-1	-10	-15	-31	0	-1	-1	-7	-9	0	-1	-7	-9	-18	-2	0	-7	-12	-21	-1	-1	-5	-9	-20
KAPCG		2	7	16	35	67	4	10	18	41	77	1	4	13	29	53	2	6	13	27	66	0	5	14	27	57	3	7	20	41	79	1	1	11	14	40	3	5	15	32	61	-1	5	12	26	54	4	7	19	39	78
MARCS		5	9	22	53	104	8	18	42	91	184	5	9	22	51	110	4	11	25	57	116	4	12	28	61	131	11	16	43	97	175	3	9	21	43	88	5	12	27	58	117	6	12	29	62	128	9	19	45	87	185
NEK3		1	3	5	18	27	1	5	17	30	61	1	3	2	4	41	0	2	4	15	27	-1	4	12	16	-22	3	6	17	28	61	0	1	10	13	3	2	6	9	24	54	-2	3	1	-2	24	2	5	12	29	68
PRKDC		-3	-4	-2	-3	12	1	5	8	11	33	-1	1	6	-4	0	0	2	7	11	17	0	4	5	4	37	0	2	2	9	24	0	1	6	9	-2	0	2	3	7	0	0	1	-3	10	15	1	7	9	1	-6
REL		493	992	2479	3657	3189	465	948	2405	3636	3151	322	637	1598	3222	3423	359	721	1814	3627	3353	449	913	2298	3647	3225	431	857	2145	3615	3135	216	431	1098	2208	3568	370	734	1874	3711	3376	366	736	1863	3703	3323	345	726	1825	3613	3255
ART		746	1511	3752	3482	2852	774	1553	3769	3425	2765	606	1224	3067	3585	3060	641	1297	3273	3553	3059	726	1432	3668	3458	2828	705	1385	3522	3417	2801	471	940	2371	3683	3263	646	1293	3269	3557	3017	651	1312	3330	3527	2959	644	1318	3292	3486	2881
KCNA1		151	306	777	1556	3121	123	252	643	1275	2595	67	129	331	660	1336	93	184	467	921	1868	134	274	694	1397	2795	121	235	588	1195	2390	41	77	201	399	802	90	177	456	891	1819	89	177	459	911	1861	96	190	479	962	1961
SCN7A		509	1028	2605	3619	3125	484	968	2444	3601	3093	348	697	1765	3549	3405	415	828	2098	3723	3318	494	972	2486	3644	3176	458	913	2314	3635	3135	257	511	1288	2597	3532	409	803	2037	3710	3331	396	804	2023	3710	3306	399	816	2059	3658	3208
ACM5		12	24	70	132	277	16	35	85	177	359	12	24	69	139	278	14	27	69	147	299	13	26	77	151	301	18	38	94	198	388	10	22	62	127	250	16	32	75	152	311	13	26	70	144	300	17	34	87	184	355
BAD		9	18	59	114	234	11	26	78	143	319	11	20	59	121	230	8	21	55	102	221	11	22	60	116	240	16	30	77	156	327	8	18	46	97	193	10	24	59	121	245	10	21	55	110	224	11	24	72	137	282
CSF1R		670	1335	3378	3658	3202	640	1295	3279	3617	3165	517	1039	2612	3729	3376	551	1090	2802	3713	3300	661	1295	3294	3665	3202	607	1219	3063	3618	3156	357	718	1810	3692	3560	533	1084	2722	3738	3367	556	1114	2818	3719	3331	580	1170	2963	3642	3186
GPR6		97	196	515	1009	2038	78	158	412	834	1688	55	110	284	568	1129	69	138	361	726	1427	95	191	486	972	1957	84	166	419	845	1667	24	54	140	270	549	68	134	342	686	1383	70	139	346	707	1425	75	150	384	777	1564
KCNA2		155	318	815	1636	3289	130	266	676	1372	2737	97	194	504	1004	2039	118	234	606	1211	2417	148	295	750	1493	2982	123	254	644	1288	2591	52	105	267	542	1085	113	230	588	1176	2373	110	227	579	1155	2317	108	222	563	1129	2254
MARCS		4	5	10	41	68	4	6	18	49	94	4	5	12	40	82	4	8	16	49	77	3	4	15	22	54	4	7	19	35	118	-1	7	15	32	60	4	6	14	26	79	1	5	12	30	69	3	7	19	47	112
NMDZ1		779	1587	3831	3532	3016	762	1556	3822	3554	2994	717	1439	3597	3613	3125	746	1494	3766	3615	3133	722	1428	3613	3578	3051	791	1572	3819	3525	2932	540	1087	2723	3733	3358	675	1376	3463	3625	3146	662	1343	3365	3634	3192	710	1454	3657	3574	3036
PTK6		368	742	1877	3711	3313	319	653	1634	3306	3307	317	644	1609	3265	3425	314	631	1577	3195	3447	333	681	1687	3427	3378	305	614	1530	3096	3303	210	429	1093	2174	3597	315	640	1608	3211	3446	305	616	1561	3134	3441	301	612	1543	3122	3330
SRC		-6	-11	-38	-56	-122	-5	-12	-37	-83	-168	-5	-10	-21	-52	-101	-5	-13	-22	-49	-108	-7	-10	-24	-49	-106	-4	-8	-24	-51	-107	-4	-7	-16	-26	-69	-5	-8	-23	-46	-93	-6	-8	-25	-56	-126	-6	-11	-23	-48	-101
CAC1C		562	1137	2864	3529	2951	571	1150	2900	3500	2895	443	893	2229	3619	3153	502	1015	2579	3632	3148	550	1088	2718	3524	2950	512	1021	2570	3508	2875	376	761	1936	3707	3334	474	980	2418	3601	3102	501	999	2524	3599	3083	472	960	2408	3540	2973
KPB1		788	1573	3800	3480	2882	770	1573	3787	3474	2883	605	1228	3093	3590	3108	668	1361	3403	3605	3097	740	1469	3685	3472	2845	700	1379	3474	3479	2865	480	957	2446	3711	3311	710	1424	3590	3557	3008	662	1322	3373	3553	3013	642	1306	3249	3500	2910
SRC8		-8	-11	-19	-57	-113	-8	-9	-29	-53	-111	-2	-11	-21	-37	-84	-3	-6	-17	-39	-92	-4	-7	-28	-55	-133	-7	-8	-29	-63	-107	-5	-8	-17	-32	-68	-4	-8	-27	-49	-101	-3	-6	-21	-46	-85	-2	-10	-21	-39	-86
ACM5		8	17	47	96	201	10	21	54	112	225	8	19	43	91	177	8	18	46	95	189	7	16	52	99	203	12	24	63	131	269	7	15	39	84	162	10	15	47	94	205	8	17	47	98	193	9	20	53	109	216
BCKD		3	7	19	40	83	5	9	25	56	106	1	8	15	30	70	3	7	17	38	75	3	8	22	45	89	5	13	27	56	110	2	4	11	23	50	5	6	15	42	80	3	7	17	34	64	5	7	24	45	87
CSK21		-4	-7	-24	-42	-63	-3	-10	-25	-48	-79	-3	-5	-15	-35	-69	-3	-4	-16	-31	-58	-2	-5	-13	-44	-66	-5	-8	-19	-43	-76	-3	-4	-15	-24	-44	-2	-5	-13	-29	-64	-3	-7	-13	-29	-58	-4	-8	-24	-46	-86
GPSM2		730	1430	3686	3633	3176	701	1410	3569	3605	3083	555	1117	2781	3711	3300	626	1242	3152	3695	3288	699	1412	3529	3625	3139	616	1241	3118	3602	3100	395	795	1971	3810	3506	590	1174	2951	3711	3319	613	1241	3142	3693	3247	591	1204	3060	3632	3157
KCNA3		83	180	448	909	1832	74	147	376	756	1510	43	83	208	426	873	56	113	287	568	1149	85	174	448	896	1798	75	148	384	788	1549	17	38	94	199	405	56	110	276	567	1146	62	126	323	666	1329	60	118	306	612	1229
MBP		2	5	9	20	43	4	5	13	30	55	2	3	14	30	62	2	6	13	29	54	2	7	20	35	71	2	6	16	33	63	1	4	9	25	53	4	7	10	28	49	2	3	14	25	47	4	6	18	29	57
NOS3		212	434	1087	2178	3519	180	356	918	1853	3476	173	347	863	1736	3492	184	369	931	1884	3540	192	388	979	1969	3521	163	338	855	1737	3455	100	205	527	1047	2105	180	366	906	1834	3572	171	344	868	1739	3513	159	317	812	1629	3294
RAB1A		-1	-3	-12	-28	-59	-1	-2	-10	-24	-47	-2	-3	-8	-11	-28	-3	-2	-6	-7	-27	0	0	-5	-6	-41	1	-1	-4	-12	-29	-3	-1	-7	-16	-25	-1	-3	-8	-19	-49	-1	-6	-12	-16	-40	0	0	-4	-8	-2
STK6		566	1140	2848	3601	3158	532	1064	2685	3593	3075	447	892	2241	3703	3291	481	976	2460	3682	3279	538	1069	2714	3635	3154	492	972	2436	3592	3094	349	707	1789	3562	3486	471	941	2400	3686	3282	486	978	2476	3695	3268	438	902	2275	3655	3206
CFTR		1053	2142	3738	3397	2641	1023	2063	3729	3353	2603	876	1773	3787	3476	2831	888	1801	3803	3511	2913	988	1944	3734	3364	2655	940	1883	3728	3335	2626	682	1378	3460	3581	3086	925	1859	3778	3462	2800	907	1822	3778	3474	2835	889	1821	3756	3399	2706
MYPC3		1255	2558	3675	3246	2319	1209	2450	3665	3219	2371	1096	2209	3728	3344	2580	1177	2362	3721	3334	2557	1161	2305	3672	3244	2382	1146	2276	3668	3228	2346	895	1804	3804	3505	2887	1185	2344	3716	3329	2562	1143	2300	3697	3326	2496	1130	2291	3691	3284	2475
VASP		158	330	835	1660	3316	129	267	679	1361	2717	117	225	573	1159	2325	136	267	686	1395	2824	157	317	816	1622	3217	135	276	697	1410	2799	84	161	418	840	1701	129	256	658	1306	2654	136	271	692	1396	2816	115	234	588	1185	2361
ADDB		8	11	36	65	138	11	21	52	110	223	7	13	30	57	121	5	12	29	63	128	6	13	39	77	160	13	21	53	115	236	5	8	25	50	100	7	11	31	59	122	7	13	31	67	141	11	22	55	110	222
BRCA1		-2	0	-3	0	-6	1	1	-2	-5	-1	1	1	0	2	-4	-1	-1	-4	-6	-15	-3	1	-1	-2	-8	1	-1	1	-3	-10	-1	-2	-2	-2	0	0	1	1	-3	-2	-2	-1	-2	-2	-4	0	-1	-3	-3	-10
